place_name,year,place_medinc,medinc_source
Harrisville,2024,88750.0,acs_place
Hatch,2019,57250.0,acs_place
Hatch,2020,70313.0,acs_place
Hatch,2021,86250.0,acs_place
Hatch,2022,93125.0,acs_place
Hatch,2023,49375.0,acs_place
Hatch,2024,83750.0,acs_place
Heber,2019,74665.0,acs_place
Heber,2020,80417.0,acs_place
Heber,2021,86365.0,acs_place
Heber,2022,98934.0,acs_place
Heber,2023,107784.0,acs_place
Heber,2024,110339.0,acs_place
Helper,2019,56111.0,acs_place
Helper,2020,55760.0,acs_place
Helper,2021,58528.0,acs_place
Helper,2022,59323.0,acs_place
Helper,2023,61908.0,acs_place
Helper,2024,56875.0,acs_place
Henefer,2019,76063.0,acs_place
Henefer,2020,79896.0,acs_place
Henefer,2021,95167.0,acs_place
Henefer,2022,89306.0,acs_place
Henefer,2023,106667.0,acs_place
Henefer,2024,93654.0,acs_place
Henrieville,2019,60938.0,acs_place
Henrieville,2020,62625.0,acs_place
Henrieville,2021,62639.0,acs_place
Henrieville,2022,48750.0,acs_place
Henrieville,2023,39583.0,acs_place
Henrieville,2024,49375.0,acs_place
Herriman,2019,101460.0,acs_place
Herriman,2020,102096.0,acs_place
Herriman,2021,109154.0,acs_place
Herriman,2022,115198.0,acs_place
Herriman,2023,118446.0,acs_place
Herriman,2024,122650.0,acs_place
Hideout,2019,63309.0,acs_place
Hideout,2020,61750.0,acs_place
Hideout,2021,63333.0,acs_place
Hideout,2022,73472.0,acs_place
Hideout,2023,76912.0,acs_place
Hideout,2024,98929.0,acs_place
Highland,2019,139453.0,acs_place
Highland,2020,146177.0,acs_place
Highland,2021,156136.0,acs_place
Highland,2022,166429.0,acs_place
Highland,2023,178662.0,acs_place
Highland,2024,186075.0,acs_place
Hildale,2019,53334.0,extrapolated
Hildale,2020,58189.0,acs_place
Hildale,2021,62857.0,acs_place
Hildale,2022,65179.0,acs_place
Hildale,2023,62727.0,acs_place
Hildale,2024,78523.0,acs_place
Hinckley,2019,58333.0,acs_place
Hinckley,2020,67500.0,acs_place
Hinckley,2021,63375.0,acs_place
Hinckley,2022,89135.0,acs_place
Hinckley,2023,80500.0,acs_place
Hinckley,2024,84844.0,acs_place
Hobble Creek,2020,192813.0,acs_place
Hobble Creek,2021,203333.0,acs_place
Hobble Creek,2022,220385.0,acs_place
Hobble Creek,2023,227981.0,acs_place
Hobble Creek,2024,241767.0,extrapolated
Holden,2019,60694.0,acs_place
Holden,2020,66250.0,acs_place
Holden,2021,72083.0,acs_place
Holden,2022,80208.0,acs_place
Holden,2023,72500.0,acs_place
Holden,2024,77031.0,acs_place
Holladay,2019,88728.0,acs_place
Holladay,2020,92635.0,acs_place
Holladay,2021,97911.0,acs_place
Holladay,2022,106099.0,acs_place
