blkgrp2,blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
4.90351E+11,"""490351135232""","""Salt Lake City, UT""",1,953,306,135.89,41,50,47,20,25,24,21,25,23,7.9,17.78,2.04,2,2,18855,18558,18060,4,4,4,15924,14911,14658,12790,11822,11654,3020,2971,2892,114,118,112,228,236,224,6.2,6.3,9.21,2.25,27358,66,27697,79,9,235,980,1232,1274,1170,60,40
4.90351E+11,"""490351134104""","""Salt Lake City, UT""",1,1039,328,125.26,42,51,48,21,26,25,21,25,23,7.92,20.75,2.04,2,2,18713,18497,17869,3,4,3,15930,14837,14501,12831,11771,11541,2997,2962,2861,102,104,99,203,207,198,5.2,5.4,3.65,2.62,22477,75,30228,80,11,199,1073,1297,1355,,96,4
4.90351E+11,"""490351129122""","""Salt Lake City, UT""",1,1503,440,178.23,47,57,54,24,30,29,23,27,25,8.6,21.23,2.18,2,2,20064,19891,19329,5,5,4,17064,15994,15674,13713,12673,12449,3214,3185,3095,138,136,131,275,272,262,3.4,6.4,2.76,2.47,24474,96,29901,79,15,241,999,1506,1489,1614,87,13
4.90351E+11,"""490351129131""","""Salt Lake City, UT""",1,1541,445,190.4,49,60,57,26,33,31,23,28,26,9.17,21.43,2.24,2,2,20962,20866,20271,4,4,4,17540,16487,16156,14070,13036,12805,3358,3341,3246,112,111,106,225,221,212,3.9,6.5,2.58,2.34,25512,92,33216,79,13,202,1053,1623,1660,,98,2
4.90351E+11,"""490351130112""","""Salt Lake City, UT""",1,1482,389,618.34,59,72,68,37,46,43,23,27,25,9.51,5.98,2.14,2,2,21075,20968,20320,2,2,2,16891,15882,15571,13451,12461,12257,3376,3357,3254,65,64,61,130,129,122,3.3,6.6,1.14,0.63,18220,86,34127,79,19,78,1059,2278,2510,,91,9
4.90351E+11,"""490351130162""","""Salt Lake City, UT""",1,3531,846,487.12,52,64,60,29,37,35,23,27,25,10.17,17.66,2.17,2,2,22250,22141,21476,2,2,2,17211,16187,15883,13595,12590,12395,3564,3545,3439,52,52,49,105,104,98,3.3,5.7,2.14,1.74,13717,98,20450,80,13,137,1011,1830,1957,,93,7
4.90351E+11,"""490351129202""","""Salt Lake City, UT""",1,2454,840,469.22,40,48,45,19,24,23,21,24,23,7.96,14.24,1.99,2,2,18943,18654,18193,7,7,7,15707,14656,14381,12473,11470,11274,3034,2987,2913,200,198,194,400,397,387,5.2,6.4,2.2,1.79,23277,64,35879,79,18,140,1073,1180,1706,,71,29
4.90351E+11,"""490351129072""","""Salt Lake City, UT""",1,2056,523,322.28,48,58,55,25,32,30,22,26,24,8.53,13.84,2.15,2,2,18973,18765,18193,4,4,3,16647,15566,15242,13504,12455,12228,3039,3005,2913,104,106,102,208,212,203,3.4,6.6,2.48,1.62,26930,98,35484,79,14,139,1112,1584,1604,1500,81,19
4.90351E+11,"""490351131021""","""Salt Lake City, UT""",1,2177,515,182.94,52,64,60,29,36,34,24,28,26,10.18,28.66,2.23,2,2,22651,22421,21991,5,5,5,17767,16737,16439,13987,13002,12776,3628,3590,3521,152,146,142,305,292,283,4.2,6,2.85,2.82,18976,98,24575,80,8,175,1010,1790,1811,,99,1
4.90351E+11,"""490351131014""","""Salt Lake City, UT""",1,1913,524,202.36,54,66,63,31,39,37,23,28,26,9.87,25.56,2.18,2,2,22473,22289,21820,5,5,5,17454,16472,16171,13696,12753,12534,3600,3569,3494,158,150,143,316,301,287,4.8,5.9,2.64,2.59,18775,87,24239,80,8,218,1000,1941,1966,1575,94,6
